category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
03320	1.36417073581323e-11	1	26	52	3.05574244822164e-09	1
00071	4.66531603898316e-10	0.999999999955734	20	38	5.22515396366114e-08	1
00280	7.69615844505971e-10	0.99999999992278	20	40	5.74646497231125e-08	1
00830	1.54105610707555e-09	0.999999999835131	20	36	8.07724808288434e-08	1
00982	1.80295716135811e-09	0.999999999740622	24	50	8.07724808288434e-08	1
01100	4.83861792610359e-09	1	121	670	1.80641735907868e-07	1
00650	9.18701702251605e-09	0.999999999389404	14	22	2.93984544720514e-07	1
00380	1.1514212218977e-08	0.999999998928883	16	29	3.22397942131357e-07	1
00591	7.90270318144545e-08	0.99999999562235	12	17	1.86951901021024e-06	1
00640	8.34606700986712e-08	0.999999992016815	14	27	1.86951901021024e-06	1
00980	3.5696076783816e-06	0.999999315791347	18	43	7.26901927234071e-05	1
00590	1.50068633947771e-05	0.999997999415181	12	24	0.000280128116702506	1
00310	0.000129378862943445	0.999977024455095	11	31	0.00222929733071782	1
01040	0.000264696211004309	0.999961699469975	9	20	0.00423513937606894	1
00350	0.000391678084114254	0.99994000585124	9	20	0.00584905938943953	1
04975	0.000548292769951361	0.999908302337599	9	22	0.00758960044483398	1
00072	0.00057599646233115	0.999972890858239	5	7	0.00758960044483398	1
00620	0.000858545702621612	0.999822807479813	10	28	0.0106841242992912	1
00140	0.00111884473555759	0.99979180479513	9	22	0.0131905905665737	1
00410	0.00130967835909863	0.999804902035599	7	18	0.014147628446672	1
04976	0.0013263401668755	0.999669879405146	11	38	0.014147628446672	1
00250	0.00187094708497586	0.999650420446198	8	22	0.0190496430470269	1
00260	0.00268743238603318	0.999397745074674	9	26	0.0261732545422362	1
00232	0.00300641102712724	0.999834703167193	4	6	0.0280598362531876	1
00270	0.00441900178014125	0.999043354697615	8	22	0.0395942559500656	1
00360	0.00519461090605914	0.999388283142472	5	10	0.0447535708829711	1
04610	0.00551904757355056	0.998118532547338	13	49	0.0457876539435306	1
04964	0.00576388425851159	0.999265004459124	5	11	0.0461110740680927	1
00062	0.00599517794321534	0.999462242705939	4	8	0.0463075813544909	1
00020	0.0065167468281496	0.998454074811581	8	24	0.0486583763168504	1
00330	0.00832953622010891	0.997484443159385	10	35	0.0601876165582063	1
03010	0.0173459486055254	0.994080569312282	10	36	0.121421640238678	1
00760	0.0223142472042549	0.99547137047841	5	15	0.151466405265246	1
00561	0.0238842714649164	0.993105986126818	7	27	0.155979045230077	1
04940	0.0243717258171995	0.996399056477274	4	9	0.155979045230077	1
04977	0.0309081199741702	0.994651902629179	4	11	0.192317190950392	1
05322	0.0344193477038654	0.990629273250665	6	20	0.208376591504482	1
00910	0.0395802291487648	0.995035133869193	3	7	0.233315034982193	1
04612	0.0437372535452915	0.984274603269924	8	32	0.251208840875521	1
00900	0.0486465772163246	0.989965877553203	4	12	0.272420832411418	1
00500	0.0694197117230573	0.979619179348415	5	19	0.377151074427864	1
00010	0.0707158264552245	0.971448584405935	8	36	0.377151074427864	1
00340	0.0782310014656911	0.976002773761745	5	20	0.387590977350324	1
05320	0.0830444816105193	0.984918048756522	3	8	0.387590977350324	1
05330	0.0830444816105193	0.984918048756522	3	8	0.387590977350324	1
05332	0.0830444816105193	0.984918048756522	3	8	0.387590977350324	1
00053	0.0846338291736733	0.978082734729943	4	14	0.387590977350324	1
04146	0.0846367965369815	0.955755516705313	13	71	0.387590977350324	1
00120	0.0847855262953834	0.978384529321913	4	13	0.387590977350324	1
04512	0.0943104562316504	0.973305275809691	4	19	0.418263713844392	1
00400	0.0952296848484999	0.990480625744155	2	4	0.418263713844392	1
00430	0.0979733586264202	0.990036725233615	2	4	0.42203908331381	1
04950	0.131441359900574	0.967963277919911	3	11	0.550944779577192	1
00770	0.132817045076644	0.966908682701872	3	12	0.550944779577192	1
