category	de_genes
03320	ENSMUSG00000002289,ENSMUSG00000002944,ENSMUSG00000005681,ENSMUSG00000008348,ENSMUSG00000010651,ENSMUSG00000017754,ENSMUSG00000018796,ENSMUSG00000023057,ENSMUSG00000024665,ENSMUSG00000024900,ENSMUSG00000025059,ENSMUSG00000026003,ENSMUSG00000026385,ENSMUSG00000027359,ENSMUSG00000027513,ENSMUSG00000027533,ENSMUSG00000027875,ENSMUSG00000028607,ENSMUSG00000028715,ENSMUSG00000032081,ENSMUSG00000032083,ENSMUSG00000032418,ENSMUSG00000037071,ENSMUSG00000054422,ENSMUSG00000062908,ENSMUSG00000066072
00071	ENSMUSG00000003809,ENSMUSG00000010025,ENSMUSG00000010651,ENSMUSG00000018574,ENSMUSG00000018796,ENSMUSG00000023832,ENSMUSG00000024900,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026003,ENSMUSG00000026687,ENSMUSG00000027984,ENSMUSG00000028607,ENSMUSG00000028715,ENSMUSG00000029545,ENSMUSG00000030861,ENSMUSG00000032047,ENSMUSG00000059447,ENSMUSG00000062908,ENSMUSG00000066072
00280	ENSMUSG00000010025,ENSMUSG00000010651,ENSMUSG00000021238,ENSMUSG00000023832,ENSMUSG00000025260,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026687,ENSMUSG00000027332,ENSMUSG00000027875,ENSMUSG00000027984,ENSMUSG00000028672,ENSMUSG00000029545,ENSMUSG00000030861,ENSMUSG00000032047,ENSMUSG00000057880,ENSMUSG00000059447,ENSMUSG00000060376,ENSMUSG00000062908,ENSMUSG00000063558
00830	ENSMUSG00000003053,ENSMUSG00000005547,ENSMUSG00000024987,ENSMUSG00000025004,ENSMUSG00000028715,ENSMUSG00000029727,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000040660,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000056666,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000066026,ENSMUSG00000066072,ENSMUSG00000066441,ENSMUSG00000067225,ENSMUSG00000069456,ENSMUSG00000089960
00982	ENSMUSG00000003053,ENSMUSG00000005547,ENSMUSG00000008540,ENSMUSG00000021033,ENSMUSG00000022445,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000028088,ENSMUSG00000029727,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000040147,ENSMUSG00000040660,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000058135,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000060803,ENSMUSG00000063558,ENSMUSG00000067225,ENSMUSG00000068086,ENSMUSG00000089960,ENSMUSG00000094806
01100	ENSMUSG00000000326,ENSMUSG00000001211,ENSMUSG00000001670,ENSMUSG00000003053,ENSMUSG00000003555,ENSMUSG00000003809,ENSMUSG00000005547,ENSMUSG00000009614,ENSMUSG00000010025,ENSMUSG00000010651,ENSMUSG00000017778,ENSMUSG00000018574,ENSMUSG00000018796,ENSMUSG00000019989,ENSMUSG00000020182,ENSMUSG00000020258,ENSMUSG00000020456,ENSMUSG00000020917,ENSMUSG00000021033,ENSMUSG00000021210,ENSMUSG00000021238,ENSMUSG00000022110,ENSMUSG00000022477,ENSMUSG00000022742,ENSMUSG00000023044,ENSMUSG00000023832,ENSMUSG00000024066,ENSMUSG00000024507,ENSMUSG00000024899,ENSMUSG00000025004,ENSMUSG00000025059,ENSMUSG00000025232,ENSMUSG00000025260,ENSMUSG00000025270,ENSMUSG00000025465,ENSMUSG00000025479,ENSMUSG00000025745,ENSMUSG00000025991,ENSMUSG00000026003,ENSMUSG00000026473,ENSMUSG00000026670,ENSMUSG00000026687,ENSMUSG00000027195,ENSMUSG00000027227,ENSMUSG00000027332,ENSMUSG00000027513,ENSMUSG00000027597,ENSMUSG00000027605,ENSMUSG00000027875,ENSMUSG00000027984,ENSMUSG00000028011,ENSMUSG00000028307,ENSMUSG00000028672,ENSMUSG00000028715,ENSMUSG00000028737,ENSMUSG00000029063,ENSMUSG00000029201,ENSMUSG00000029445,ENSMUSG00000029545,ENSMUSG00000029695,ENSMUSG00000029727,ENSMUSG00000030062,ENSMUSG00000030630,ENSMUSG00000030861,ENSMUSG00000030934,ENSMUSG00000030935,ENSMUSG00000031173,ENSMUSG00000031299,ENSMUSG00000031545,ENSMUSG00000031672,ENSMUSG00000031700,ENSMUSG00000032018,ENSMUSG00000032047,ENSMUSG00000032271,ENSMUSG00000032310,ENSMUSG00000032350,ENSMUSG00000032418,ENSMUSG00000032786,ENSMUSG00000032808,ENSMUSG00000033022,ENSMUSG00000033174,ENSMUSG00000033308,ENSMUSG00000034456,ENSMUSG00000034707,ENSMUSG00000034926,ENSMUSG00000037798,ENSMUSG00000038092,ENSMUSG00000038641,ENSMUSG00000039783,ENSMUSG00000040147,ENSMUSG00000040660,ENSMUSG00000041237,ENSMUSG00000042102,ENSMUSG00000044005,ENSMUSG00000046598,ENSMUSG00000052520,ENSMUSG00000052738,ENSMUSG00000053907,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000056091,ENSMUSG00000057880,ENSMUSG00000059447,ENSMUSG00000059743,ENSMUSG00000060376,ENSMUSG00000060407,ENSMUSG00000060613,ENSMUSG00000061838,ENSMUSG00000062908,ENSMUSG00000063229,ENSMUSG00000063558,ENSMUSG00000064358,ENSMUSG00000066026,ENSMUSG00000066072,ENSMUSG00000066441,ENSMUSG00000067225,ENSMUSG00000069456,ENSMUSG00000070644,ENSMUSG00000074768,ENSMUSG00000089678,ENSMUSG00000089960
00650	ENSMUSG00000021210,ENSMUSG00000023832,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000027875,ENSMUSG00000027984,ENSMUSG00000028672,ENSMUSG00000029482,ENSMUSG00000029545,ENSMUSG00000030935,ENSMUSG00000031299,ENSMUSG00000032047,ENSMUSG00000046598,ENSMUSG00000057880
00380	ENSMUSG00000003477,ENSMUSG00000003809,ENSMUSG00000010025,ENSMUSG00000020182,ENSMUSG00000020456,ENSMUSG00000023832,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026687,ENSMUSG00000027984,ENSMUSG00000028011,ENSMUSG00000032047,ENSMUSG00000032310,ENSMUSG00000039783,ENSMUSG00000040147,ENSMUSG00000063558
00591	ENSMUSG00000003053,ENSMUSG00000021210,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000029727,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000052520,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000060613,ENSMUSG00000067225
00640	ENSMUSG00000010025,ENSMUSG00000021238,ENSMUSG00000022110,ENSMUSG00000023832,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026687,ENSMUSG00000027605,ENSMUSG00000032047,ENSMUSG00000052738,ENSMUSG00000057880,ENSMUSG00000061838,ENSMUSG00000062908,ENSMUSG00000063229
