category	de_genes
04950	ENSMUSG00000043013
00982	ENSMUSG00000040170
04976	ENSMUSG00000027698
04930	ENSMUSG00000020027
05217	ENSMUSG00000041075
04910	ENSMUSG00000020027
04916	ENSMUSG00000041075
04630	ENSMUSG00000020027
04310	ENSMUSG00000041075
04144	ENSMUSG00000027519
05200	ENSMUSG00000041075
04010	
00010	
00020	
00030	
00040	
00051	
00052	
00053	
00061	
00071	
00072	
00100	
00120	
00140	
00190	
00230	
00232	
00240	
00250	
00260	
00270	
00280	
00290	
00310	
00330	
00340	
00350	
00360	
00380	
00400	
00410	
00430	
00450	
00460	
00471	
00472	
00480	
00500	
00510	
00511	
00512	
00514	
00520	
00524	
00531	
00532	
00533	
00534	
00561	
00562	
00563	
00564	
00565	
00590	
00591	
00592	
00600	
00601	
00603	
00604	
00620	
00630	
00640	
00650	
00670	
00730	
00740	
00750	
00760	
00770	
00780	
00785	
00790	
00830	
00860	
00900	
00910	
00920	
00970	
00980	
00983	
01040	
01100	
02010	
03008	
03010	
03015	
03018	
03020	
03022	
03030	
03040	
03050	
03060	
03320	
03410	
03420	
03430	
03440	
03450	
04012	
04020	
04060	
04062	
04070	
04110	
04114	
04115	
04120	
04122	
04130	
04140	
04141	
04142	
04145	
04146	
04150	
04210	
04260	
04270	
04320	
04330	
04340	
04350	
04360	
04370	
04380	
04510	
04512	
04514	
04530	
04540	
04610	
04612	
04614	
04620	
04621	
04622	
04623	
04640	
04650	
04662	
04664	
04666	
04670	
04672	
04710	
04720	
04730	
04740	
04742	
04744	
04810	
04912	
04914	
04920	
04940	
04960	
04962	
04964	
04966	
04970	
04971	
04972	
04973	
04974	
04975	
04977	
05010	
05012	
05014	
05016	
05020	
05100	
05140	
05142	
05143	
05144	
05145	
05146	
05150	
05160	
05210	
05211	
05212	
05213	
05214	
05215	
05216	
05218	
05219	
05220	
05221	
05222	
05223	
05310	
05320	
05322	
05323	
05330	
05332	
05340	
05410	
05412	
05414	
05416	
04660	
04080	
04520	
04722	
03013	
