category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
01100	5.5508245366999e-29	1	214	1160	1.24893552075748e-26	1
03320	5.51165357584012e-24	1	42	80	4.56683525431555e-22	1
00982	6.08911367242073e-24	1	41	87	4.56683525431555e-22	1
00071	6.30622579572574e-21	1	31	48	3.54725201009573e-19	1
00830	4.62891333858107e-19	1	35	77	2.08301100236148e-17	1
00980	2.59419558438966e-18	1	33	77	9.72823344146121e-17	1
03010	5.81225532434226e-18	1	33	102	1.86822492568144e-16	1
01040	1.64058666576148e-11	1	16	25	4.61414999745417e-10	1
00280	2.3780525949335e-11	1	23	49	5.94513148733376e-10	1
00140	1.02145312712003e-08	0.99999999854113	19	54	2.29826953602007e-07	1
00640	1.5630768466916e-08	0.999999998381067	16	32	3.19720264096009e-07	1
04610	6.79151304648669e-08	0.999999986203348	23	76	1.27340869621625e-06	1
00380	7.35992392334816e-08	0.99999998918514	18	44	1.27383298673333e-06	1
00983	1.25836709227372e-07	0.999999978215417	19	59	2.02237568401133e-06	1
00480	1.64191568738432e-07	0.999999974143501	17	54	2.46287353107647e-06	1
04146	2.02136067363828e-07	0.999999954418368	24	80	2.77951962247834e-06	1
00591	2.10008149253919e-07	0.999999969293618	16	46	2.77951962247834e-06	1
00650	2.56075586370039e-07	0.999999970933068	14	30	3.20094482962549e-06	1
04976	1.32823977652493e-06	0.99999968898201	22	71	1.57291552483215e-05	1
00590	4.4331125744625e-06	0.999998866548948	21	90	4.98725164627032e-05	1
00350	6.92532502907521e-06	0.999998923766316	13	36	7.41999110258058e-05	1
00620	5.15373770096361e-05	0.999989817147777	13	42	0.000527086810325824	1
00020	9.76553581786455e-05	0.99998305425737	11	31	0.000955324156095446	1
00120	0.000107677230899882	0.999990333320631	7	15	0.00100947403968639	1
00053	0.00015414540435078	0.999977367114109	9	25	0.00138730863915702	1
00310	0.000178804132587151	0.999957359209594	14	44	0.00154734345508112	1
00250	0.00020459780779799	0.999960860932436	11	32	0.00170498173164992	1
00270	0.000219377735930401	0.999956492328916	11	36	0.00171695135097417	1
00260	0.000221295951903338	0.999956620319249	11	34	0.00171695135097417	1
00500	0.000313959972291532	0.999923829722663	13	45	0.00235469979218649	1
00330	0.000355927374090918	0.999905486264113	14	54	0.00258334384420827	1
00410	0.000393836652900303	0.999935687104382	9	23	0.00276916396570526	1
00860	0.000416062980806596	0.999909331697795	11	39	0.00283679305095407	1
00010	0.000622317955835651	0.999822197004648	14	60	0.00411828059008887	1
00360	0.00252064977194333	0.9996301123591	6	17	0.0162041771053499	1
04975	0.00277005811012644	0.999257284915282	10	45	0.0169467138226479	1
00770	0.00278679293972432	0.999599869062072	6	15	0.0169467138226479	1
00232	0.00298670908610404	0.999764192800064	4	9	0.0176844616940371	1
00040	0.00388166893193324	0.999108192526527	8	31	0.0223942438380764	1
04614	0.00417824831725526	0.99930717468699	6	18	0.0235026467845609	1
04950	0.00443511973634371	0.99908434448127	7	26	0.0243390717238374	1
00062	0.00576944564619086	0.999485889372869	4	8	0.0309077445331653	1
