category	de_genes
01100	ENSMUSG00000027513,ENSMUSG00000028715,ENSMUSG00000025479,ENSMUSG00000037798,ENSMUSG00000064370,ENSMUSG00000066072,ENSMUSG00000064363,ENSMUSG00000003053,ENSMUSG00000056035,ENSMUSG00000027875,ENSMUSG00000064351,ENSMUSG00000020777,ENSMUSG00000001670,ENSMUSG00000023044,ENSMUSG00000074768,ENSMUSG00000060613,ENSMUSG00000030934,ENSMUSG00000032786,ENSMUSG00000028307,ENSMUSG00000010025,ENSMUSG00000054630,ENSMUSG00000032418,ENSMUSG00000038092,ENSMUSG00000018796,ENSMUSG00000069922,ENSMUSG00000062908,ENSMUSG00000035836,ENSMUSG00000062181,ENSMUSG00000024892,ENSMUSG00000066071,ENSMUSG00000046598,ENSMUSG00000063229,ENSMUSG00000020917,ENSMUSG00000029445,ENSMUSG00000034926,ENSMUSG00000056091,ENSMUSG00000028011,ENSMUSG00000009614,ENSMUSG00000026473,ENSMUSG00000057880,ENSMUSG00000033174,ENSMUSG00000025059,ENSMUSG00000026003,ENSMUSG00000032018,ENSMUSG00000031700,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000005547,ENSMUSG00000025197,ENSMUSG00000027605,ENSMUSG00000024507,ENSMUSG00000032310,ENSMUSG00000061959,ENSMUSG00000025991,ENSMUSG00000028479,ENSMUSG00000024039,ENSMUSG00000001211,ENSMUSG00000032047,ENSMUSG00000059447,ENSMUSG00000029695,ENSMUSG00000025393,ENSMUSG00000027227,ENSMUSG00000032808,ENSMUSG00000030541,ENSMUSG00000027597,ENSMUSG00000042102,ENSMUSG00000063558,ENSMUSG00000010651,ENSMUSG00000025153,ENSMUSG00000036138,ENSMUSG00000029201,ENSMUSG00000031545,ENSMUSG00000056973,ENSMUSG00000039648,ENSMUSG00000030935,ENSMUSG00000030062,ENSMUSG00000034371,ENSMUSG00000022853,ENSMUSG00000031672,ENSMUSG00000022546,ENSMUSG00000053846,ENSMUSG00000089678,ENSMUSG00000024292,ENSMUSG00000003526,ENSMUSG00000029260,ENSMUSG00000038641,ENSMUSG00000069456,ENSMUSG00000020182,ENSMUSG00000031173,ENSMUSG00000028527,ENSMUSG00000027983,ENSMUSG00000021210,ENSMUSG00000026687,ENSMUSG00000066441,ENSMUSG00000000326,ENSMUSG00000024085,ENSMUSG00000040147,ENSMUSG00000025453,ENSMUSG00000041798,ENSMUSG00000015806,ENSMUSG00000052738,ENSMUSG00000070704,ENSMUSG00000025428,ENSMUSG00000054827,ENSMUSG00000041237,ENSMUSG00000040660,ENSMUSG00000022304,ENSMUSG00000061838,ENSMUSG00000028792,ENSMUSG00000070644,ENSMUSG00000034707,ENSMUSG00000031278,ENSMUSG00000029727,ENSMUSG00000022821,ENSMUSG00000033308,ENSMUSG00000024843,ENSMUSG00000078650,ENSMUSG00000031844,ENSMUSG00000089960,ENSMUSG00000032350,ENSMUSG00000003555,ENSMUSG00000018574,ENSMUSG00000064368,ENSMUSG00000025465,ENSMUSG00000061906,ENSMUSG00000022477,ENSMUSG00000044005,ENSMUSG00000021238,ENSMUSG00000074882,ENSMUSG00000028672,ENSMUSG00000066026,ENSMUSG00000039783,ENSMUSG00000000673,ENSMUSG00000033022,ENSMUSG00000028980,ENSMUSG00000039653,ENSMUSG00000052520,ENSMUSG00000003809,ENSMUSG00000022742,ENSMUSG00000025260,ENSMUSG00000025270,ENSMUSG00000049091,ENSMUSG00000031299,ENSMUSG00000032271,ENSMUSG00000017778,ENSMUSG00000029063,ENSMUSG00000019989,ENSMUSG00000020456,ENSMUSG00000024799,ENSMUSG00000063730,ENSMUSG00000025232,ENSMUSG00000028712,ENSMUSG00000021033,ENSMUSG00000029545,ENSMUSG00000030861,ENSMUSG00000020017,ENSMUSG00000060376,ENSMUSG00000024899,ENSMUSG00000053907,ENSMUSG00000022890,ENSMUSG00000024066,ENSMUSG00000074207,ENSMUSG00000022110,ENSMUSG00000029314,ENSMUSG00000026670,ENSMUSG00000025004,ENSMUSG00000024747,ENSMUSG00000018846,ENSMUSG00000029597,ENSMUSG00000028737,ENSMUSG00000029162,ENSMUSG00000060407,ENSMUSG00000027261,ENSMUSG00000030660,ENSMUSG00000027195,ENSMUSG00000022707,ENSMUSG00000039682,ENSMUSG00000025190,ENSMUSG00000030630,ENSMUSG00000033610,ENSMUSG00000028766,ENSMUSG00000022450,ENSMUSG00000035948,ENSMUSG00000078597,ENSMUSG00000040706,ENSMUSG00000004789,ENSMUSG00000029630,ENSMUSG00000031349,ENSMUSG00000042248,ENSMUSG00000027332,ENSMUSG00000028085,ENSMUSG00000028961,ENSMUSG00000013593,ENSMUSG00000038768,ENSMUSG00000024887,ENSMUSG00000015224,ENSMUSG00000032788,ENSMUSG00000029009,ENSMUSG00000039105,ENSMUSG00000002588,ENSMUSG00000069805,ENSMUSG00000037797,ENSMUSG00000014313,ENSMUSG00000001155,ENSMUSG00000063929,ENSMUSG00000029992,ENSMUSG00000036073,ENSMUSG00000023921,ENSMUSG00000039062,ENSMUSG00000022235,ENSMUSG00000031231,ENSMUSG00000026170,ENSMUSG00000028240,ENSMUSG00000032263
03320	ENSMUSG00000027513,ENSMUSG00000028715,ENSMUSG00000037071,ENSMUSG00000066072,ENSMUSG00000027875,ENSMUSG00000020777,ENSMUSG00000024900,ENSMUSG00000024665,ENSMUSG00000027359,ENSMUSG00000032418,ENSMUSG00000018796,ENSMUSG00000062908,ENSMUSG00000066071,ENSMUSG00000032079,ENSMUSG00000023057,ENSMUSG00000002944,ENSMUSG00000002289,ENSMUSG00000025059,ENSMUSG00000026003,ENSMUSG00000054422,ENSMUSG00000022383,ENSMUSG00000032081,ENSMUSG00000032083,ENSMUSG00000010651,ENSMUSG00000036138,ENSMUSG00000022853,ENSMUSG00000026385,ENSMUSG00000005681,ENSMUSG00000031278,ENSMUSG00000008348,ENSMUSG00000028607,ENSMUSG00000028712,ENSMUSG00000017754,ENSMUSG00000027533,ENSMUSG00000078597,ENSMUSG00000015846,ENSMUSG00000015568,ENSMUSG00000063929,ENSMUSG00000025006,ENSMUSG00000002250,ENSMUSG00000026170,ENSMUSG00000028240
00982	ENSMUSG00000025479,ENSMUSG00000003053,ENSMUSG00000056035,ENSMUSG00000060803,ENSMUSG00000028088,ENSMUSG00000058135,ENSMUSG00000060613,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000008540,ENSMUSG00000022445,ENSMUSG00000068086,ENSMUSG00000005547,ENSMUSG00000025197,ENSMUSG00000032310,ENSMUSG00000040181,ENSMUSG00000032808,ENSMUSG00000063558,ENSMUSG00000004038,ENSMUSG00000029260,ENSMUSG00000068762,ENSMUSG00000040147,ENSMUSG00000070704,ENSMUSG00000054827,ENSMUSG00000040660,ENSMUSG00000029727,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000074882,ENSMUSG00000021033,ENSMUSG00000074207,ENSMUSG00000094806,ENSMUSG00000025004,ENSMUSG00000060407,ENSMUSG00000025934,ENSMUSG00000029630,ENSMUSG00000040170,ENSMUSG00000042248,ENSMUSG00000037797,ENSMUSG00000040562,ENSMUSG00000027890
00071	ENSMUSG00000028715,ENSMUSG00000066072,ENSMUSG00000020777,ENSMUSG00000024900,ENSMUSG00000010025,ENSMUSG00000018796,ENSMUSG00000062908,ENSMUSG00000066071,ENSMUSG00000026003,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000032047,ENSMUSG00000059447,ENSMUSG00000021417,ENSMUSG00000010651,ENSMUSG00000036138,ENSMUSG00000022853,ENSMUSG00000026687,ENSMUSG00000031278,ENSMUSG00000018574,ENSMUSG00000025465,ENSMUSG00000003809,ENSMUSG00000028607,ENSMUSG00000028712,ENSMUSG00000029545,ENSMUSG00000030861,ENSMUSG00000074207,ENSMUSG00000024132,ENSMUSG00000078597,ENSMUSG00000037797,ENSMUSG00000063929
00830	ENSMUSG00000028715,ENSMUSG00000066072,ENSMUSG00000003053,ENSMUSG00000056035,ENSMUSG00000060613,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000066071,ENSMUSG00000005547,ENSMUSG00000025197,ENSMUSG00000032310,ENSMUSG00000056666,ENSMUSG00000032808,ENSMUSG00000029260,ENSMUSG00000069456,ENSMUSG00000066441,ENSMUSG00000070704,ENSMUSG00000054827,ENSMUSG00000040660,ENSMUSG00000029727,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000074882,ENSMUSG00000066026,ENSMUSG00000028712,ENSMUSG00000074207,ENSMUSG00000025004,ENSMUSG00000024747,ENSMUSG00000024987,ENSMUSG00000060407,ENSMUSG00000078597,ENSMUSG00000029630,ENSMUSG00000042248,ENSMUSG00000037797,ENSMUSG00000063929
00980	ENSMUSG00000025479,ENSMUSG00000003053,ENSMUSG00000056035,ENSMUSG00000060803,ENSMUSG00000058135,ENSMUSG00000060613,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000008540,ENSMUSG00000038776,ENSMUSG00000025197,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000004038,ENSMUSG00000029260,ENSMUSG00000068762,ENSMUSG00000070704,ENSMUSG00000054827,ENSMUSG00000040660,ENSMUSG00000029727,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000052974,ENSMUSG00000074882,ENSMUSG00000021033,ENSMUSG00000074207,ENSMUSG00000025004,ENSMUSG00000025934,ENSMUSG00000029630,ENSMUSG00000042248,ENSMUSG00000037797,ENSMUSG00000040562,ENSMUSG00000027890
03010	ENSMUSG00000071415,ENSMUSG00000032399,ENSMUSG00000008682,ENSMUSG00000047675,ENSMUSG00000020460,ENSMUSG00000059291,ENSMUSG00000028081,ENSMUSG00000038900,ENSMUSG00000043716,ENSMUSG00000079435,ENSMUSG00000057322,ENSMUSG00000061787,ENSMUSG00000029614,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000030432,ENSMUSG00000041453,ENSMUSG00000032518,ENSMUSG00000041841,ENSMUSG00000044533,ENSMUSG00000036781,ENSMUSG00000062328,ENSMUSG00000012848,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000046364,ENSMUSG00000046330,ENSMUSG00000047215,ENSMUSG00000025290,ENSMUSG00000031320,ENSMUSG00000062647,ENSMUSG00000025362,ENSMUSG00000037563
01040	ENSMUSG00000037071,ENSMUSG00000020777,ENSMUSG00000024665,ENSMUSG00000032349,ENSMUSG00000010663,ENSMUSG00000021364,ENSMUSG00000025745,ENSMUSG00000021228,ENSMUSG00000010651,ENSMUSG00000036138,ENSMUSG00000072949,ENSMUSG00000021226,ENSMUSG00000039653,ENSMUSG00000052392,ENSMUSG00000027195,ENSMUSG00000041220
00280	ENSMUSG00000027875,ENSMUSG00000010025,ENSMUSG00000062908,ENSMUSG00000057880,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000032047,ENSMUSG00000059447,ENSMUSG00000063558,ENSMUSG00000010651,ENSMUSG00000036138,ENSMUSG00000022853,ENSMUSG00000026687,ENSMUSG00000025465,ENSMUSG00000021238,ENSMUSG00000028672,ENSMUSG00000025260,ENSMUSG00000029545,ENSMUSG00000030861,ENSMUSG00000060376,ENSMUSG00000027332,ENSMUSG00000023921,ENSMUSG00000032263
00140	ENSMUSG00000056035,ENSMUSG00000039519,ENSMUSG00000054630,ENSMUSG00000038092,ENSMUSG00000035836,ENSMUSG00000029260,ENSMUSG00000038641,ENSMUSG00000000326,ENSMUSG00000070704,ENSMUSG00000029727,ENSMUSG00000031844,ENSMUSG00000089960,ENSMUSG00000003555,ENSMUSG00000061906,ENSMUSG00000063730,ENSMUSG00000021594,ENSMUSG00000027195,ENSMUSG00000029630,ENSMUSG00000028240
