GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000074622.4	44.5732922915595	2.38667752435552	0.289711986267053	8.23810417755901	1.7496081302652e-16	6.85806847897171e-15	chr2	160363702	160367065	-	NA	Mafb
ENSMUSG00000039145.16	42.7250289072782	-2.08208611078075	0.275238309043807	-7.56466684457565	3.8885993355955e-14	1.34895510951808e-12	chr2	5293456	5714515	-	NA	Camk1d
ENSMUSG00000097971.3	46.2619400524777	-1.56209128579414	0.248220313400734	-6.29316458589855	3.11058216515163e-10	7.70757823636502e-09	chr17	39843012	39846341	+	NA	Gm26917
ENSMUSG00000078689.8	914.672870105261	-1.6163040846552	0.324360906421483	-4.98304219977402	6.25922929804788e-07	1.06177341980088e-05	chr4	59964293	60007274	+	NA	Mup6
ENSMUSG00000066477.13	17.0491137830099	-2.18079761697313	0.444137412659513	-4.91018670081052	9.09897207684593e-07	1.49949330805599e-05	chr9	74847982	74860134	+	NA	Gm16551
ENSMUSG00000044026.2	31.8223522825183	1.40455729687395	0.299557777586291	4.68876925243361	2.74853099485346e-06	4.2852377623131e-05	chr19	38395979	38405607	+	NA	Slc35g1
ENSMUSG00000023087.15	26.5069682399658	1.53470510178325	0.338929271889828	4.52809842367975	5.95168600398453e-06	8.7670483005615e-05	chr3	51224446	51251644	+	NA	Noct
ENSMUSG00000038415.9	9.80246859302928	-3.01663919231053	0.677409462292998	-4.45319907711261	8.46002471296395e-06	0.000121523087905888	chr13	31558323	31560976	+	NA	Foxq1
ENSMUSG00000056313.5	30.2650065995218	1.34408514663958	0.305323172218077	4.40217208826708	1.07172495381154e-05	0.000151438446630233	chr8	24437179	24438984	-	NA	1810011O10Rik
ENSMUSG00000080738.1	119.973367324328	-1.86342898236375	0.425229835286682	-4.38216895366118	1.17503628732714e-05	0.000164694985080317	chr11	55123694	55123937	+	NA	Mup-ps22
ENSMUSG00000067219.9	8.64355450834451	5.4966386833109	1.25743682517742	4.37130404745014	1.23506663296922e-05	0.000172066110432539	chr5	72647794	72671078	+	NA	Nipal1
ENSMUSG00000036181.2	28.7564682496872	-1.33552068186268	0.309669668793137	-4.31272680681823	1.61253322980415e-05	0.000219367755850611	chr13	23738807	23740367	+	NA	Hist1h1c
ENSMUSG00000019768.16	23.021034152436	1.52729270117146	0.373232552700802	4.09206723829312	4.27544634361461e-05	0.000540310505136578	chr10	4611592	5005614	+	NA	Esr1
ENSMUSG00000037348.15	57.0691579509808	0.844033922118695	0.20935987940857	4.03149793791937	5.54224829228505e-05	0.000681775153402015	chr4	134496696	134510235	+	NA	Paqr7
ENSMUSG00000027698.14	39.7404744510606	1.02523191146175	0.261788699525834	3.91625732248454	8.99342558039808e-05	0.001057565875878	chr3	27182964	27284608	+	NA	Nceh1
ENSMUSG00000030551.14	25.8518729012438	-1.23688511381387	0.32842553256675	-3.76610522375413	0.000165813932309444	0.0018495451163391	chr7	70351943	70366735	-	NA	Nr2f2
