Gene name	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	GeneID
Slc38a3	170.404835436963	10.8074333684888	1.18654192306311	9.10834514855482	8.36480802281845e-20	7.97371170069197e-18	chr9	107650633	107669530	-	NA	ENSMUSG00000010064.15
Bhmt2	45.1936388648348	8.89277187681589	1.2159183039752	7.31362612746495	2.60028001541018e-13	1.73279771026917e-11	chr13	93655719	93674302	-	NA	ENSMUSG00000042118.7
Hmgcs2	45.1936388648348	8.89277187681589	1.2159183039752	7.31362612746495	2.60028001541018e-13	1.73279771026917e-11	chr3	98280434	98310738	+	NA	ENSMUSG00000027875.12
pol	40.7270299211069	8.74242559335245	3.90777020379994	2.23719029968836	0.0252739050846988	0.226803360217677	NA	NA	NA	NA	NA	NA
Gfra1	27.8919228115125	8.19648772685943	1.85208498708895	4.42554622708887	9.61985527418892e-06	0.0002758330613878	chr19	58235603	58455909	-	NA	ENSMUSG00000025089.15
Rgs16	25.8337221147172	8.08583416998704	1.23551780200987	6.54449021846019	5.96986715113209e-11	3.27978121272501e-09	chr1	153740348	153745468	+	NA	ENSMUSG00000026475.7
Cyp2d10	20.778633355242	7.77147710139387	1.25476292531652	6.19358202620904	5.88120595066872e-10	2.91910615358364e-08	chr15	82402845	82407194	-	NA	ENSMUSG00000094806.1
Cyp2d26	20.778633355242	7.77147710139387	1.25476292531652	6.19358202620904	5.88120595066872e-10	2.91910615358364e-08	chr15	82790106	82794245	-	NA	ENSMUSG00000022445.6
Cyp2d4	20.778633355242	7.77147710139387	1.25476292531652	6.19358202620904	5.88120595066872e-10	2.91910615358364e-08	NA	NA	NA	NA	NA	NA
Cyp2d9	20.778633355242	7.77147710139387	1.25476292531652	6.19358202620904	5.88120595066872e-10	2.91910615358364e-08	chr15	82452376	82456827	+	NA	ENSMUSG00000068086.5
Acat2	20.1478425435383	7.72716552540736	1.25686805900647	6.14795281814666	7.84893720074861e-10	3.82974922262968e-08	chr17	12942889	12960747	-	NA	ENSMUSG00000023832.13
Tcp1	20.1478425435383	7.72716552540736	1.25686805900647	6.14795281814666	7.84893720074861e-10	3.82974922262968e-08	chr17	12915700	12925067	+	NA	ENSMUSG00000068039.12
Tmprss6	19.0330806236163	7.6453901196174	1.29274522171601	5.91407339295272	3.33749053658239e-09	1.53973842255022e-07	chr15	78439667	78468634	-	NA	ENSMUSG00000016942.5
Mfsd2a	14.4599171883626	7.24853325844743	1.26466003863303	5.73160615265613	9.94840571245224e-09	4.44712272748564e-07	chr4	122946849	122961188	-	NA	ENSMUSG00000028655.11
Mia2	13.8017497432774	7.18134261346514	3.90973099696465	1.83678688355808	0.0662413629914808	0.424333857988151	chr12	59095798	59109130	+	NA	ENSMUSG00000035349.5
Abcc6	10.2666413674495	6.75447439923998	3.91075182191018	1.72715495813304	0.0841398376330548	0.483752418968085	chr7	45967554	46030302	-	NA	ENSMUSG00000030834.7
Mtss1	9.96674164870513	6.71243811841847	1.32347756521232	5.07181858979348	3.94031922493131e-07	1.4143879033332e-05	chr15	58941243	59082026	-	NA	ENSMUSG00000022353.9
Clk1	9.6768357251587	6.66951283523656	1.29330268727683	5.15696201736027	2.5098869080531e-07	9.31116292642173e-06	chr1	58410188	58424066	-	NA	ENSMUSG00000026034.17
Mt2	9.38087223028146	6.62433686010066	1.2891375577244	5.13858030154206	2.76821895869835e-07	1.02168573567959e-05	chr8	94172617	94173567	+	NA	ENSMUSG00000031762.6
Txnip	9.37574908410485	6.62372026923538	1.29160514308143	5.12828576497686	2.92392380648877e-07	1.07639282021993e-05	chr3	96557956	96561883	+	NA	ENSMUSG00000038393.14
Lcn2	16.0120465958162	6.41832650514444	1.25738664815675	5.10449710481124	3.31675352062987e-07	1.21479262534215e-05	chr2	32384632	32388252	-	NA	ENSMUSG00000026822.14
Pex11a	8.00287750263366	6.39489285388327	1.30780002393115	4.88980940271029	1.00933659243619e-06	3.37869556082011e-05	chr7	79735956	79743131	-	NA	ENSMUSG00000030545.9
Mfsd2a	102.692914180515	6.39462358878877	0.573676637637592	11.1467387187352	7.42791275704889e-29	9.54619430580016e-27	chr4	122946849	122961188	-	NA	ENSMUSG00000028655.11
Clk1	7.98452785495287	6.39222822577424	1.34102752735088	4.76666443857549	1.87300870708934e-06	6.08579849432143e-05	chr1	58410188	58424066	-	NA	ENSMUSG00000026034.17
Cidec	14.1604716016486	6.23910923831295	1.26451211835529	4.93400509789338	8.05603355042106e-07	2.74133680673193e-05	chr6	113424633	113435760	-	NA	ENSMUSG00000030278.11
Echdc2	6.75161773504642	6.1498267595577	3.90688070783192	1.57410149412278	0.115463987213971	0.563004279118531	chr4	108165436	108179308	+	NA	ENSMUSG00000028601.18
Abcc6	5.07928666045547	5.73891804185244	1.35056097106458	4.2492846785945	2.14454237454033e-05	0.000566395283286852	chr7	45967554	46030302	-	NA	ENSMUSG00000030834.7
Tmem126a	5.07579066221297	5.73816578829982	1.34006601241891	4.28200233057327	1.85219041788771e-05	0.000499258967698047	chr7	90450699	90457229	-	NA	ENSMUSG00000030615.12
Acsf2	4.93676362580243	5.69810703306951	3.81577571390368	1.4933024004286	0.135358047532382	0.603499377509787	chr11	94557101	94601871	-	NA	ENSMUSG00000076435.3
Acot1	4.93560908783592	5.69777268426125	3.82313450379521	1.490340629817	0.13613469452554	0.604136049380079	chr12	84009501	84017670	+	NA	ENSMUSG00000072949.5
Acot3	4.93560908783592	5.69777268426125	3.82313450379521	1.490340629817	0.13613469452554	0.604136049380079	chr12	84052143	84059565	+	NA	ENSMUSG00000021228.14
Cyp2b9	9.09072937673898	5.58956230038057	1.29053852109992	4.3311859421419	1.48308370529398e-05	0.000408174127227564	chr7	26173410	26210661	+	NA	ENSMUSG00000040660.6
Mafb	3.84102248677911	5.33646874681387	1.37573647816549	3.87899051272517	0.00010489084519722	0.00239650607264886	chr2	160363702	160367065	-	NA	ENSMUSG00000074622.4
